Company_Name,Rating,Review_Count,Industry,Headquarters
Mahindra Holidays & Resorts,3.5,2.5k,Hospitality,Mumbai
Newgen Software Technologies,4.1,2.5k,IT Services & Consulting,Noida
Syngene International,3.7,2.5k,Clinical Research,Bengaluru
Team Computers,3.8,2.5k,IT Services & Consulting,New Delhi
Intellect Design Arena,3.5,2.5k,Software Product,Chennai
Mahindra Rural Housing Finance,4.0,2.5k,NBFC,Mumbai
Datamatics Global Services,3.4,2.5k,IT Services & Consulting,Mumbai
McDonald's,3.8,2.5k,Hospitality,New Delhi
RMSI,3.5,2.5k,IT Services & Consulting,Hyderabad
Bureau Veritas,3.8,2.5k,Other,Mumbai
Paras Hospital,4.1,2.5k,Healthcare,Patna
Patanjali Ayurved,4.0,2.5k,FMCG,Haridwar
Cholamandalam MS General Insurance,3.7,2.5k,Insurance,Chennai
3i Infotech,3.4,2.5k,IT Services & Consulting,Mumbai
Info Edge,3.8,2.4k,Internet,Noida
Aavas Financiers,3.9,2.4k,NBFC,Jaipur
Taj Hotels Resorts and Palaces,4.2,2.4k,Hospitality,Mumbai
Delhi Public School,3.7,2.4k,Education & Training,New Delhi
TCE,3.9,2.4k,Engineering & Construction,Mumbai
Lodha,4.2,2.4k,Real Estate,Mumbai
Apollo Pharmacy,3.7,2.4k,Pharma,Hyderabad
Statestreet HCL Services,3.4,2.4k,BPO,Chennai
Capgemini Engineering,3.3,2.4k,IT Services & Consulting,Bengaluru
Sopra Steria,3.9,2.4k,IT Services & Consulting,Noida
Kia India,3.9,2.4k,Automobile,Anantapur
Cybage,3.7,2.4k,IT Services & Consulting,Pune
Straive,3.3,2.4k,IT Services & Consulting,Chennai
Axis Direct,3.6,2.4k,Financial Services,Mumbai
SBI Securities,3.6,2.4k,Financial Services,Mumbai
GVK Emergency Management and Research Institute,3.5,2.4k,Non-Profit,Lucknow
Endurance Technologies Limited,3.9,2.4k,Auto Components,Chhatrapati Sambhajinagar
Akums Drugs & Pharmaceuticals Limited,4.2,2.4k,Pharma,Haridwar
JK Tyre,3.9,2.4k,Auto Components,Chennai
Xoriant,4.0,2.4k,IT Services & Consulting,Pune
